City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
458,Bauchi,NG,81.12,light rain,10.5,10.0,Crôa Mares Hotel
459,Namatanai,PG,79.32,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
462,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
464,Sinnamary,GF,80.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
466,El Alto,PE,73.06,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
469,Takoradi,GH,75.6,overcast clouds,4.8845,-1.7554,Raybow International Hotel
476,Sassandra,CI,73.17,light rain,4.95,-6.0833,la terrasse
481,Lorengau,PG,82.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
483,Igurubi,TZ,72.79,overcast clouds,-4.0,33.7,Crôa Mares Hotel
486,Tual,ID,83.01,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
488,Ouallam,NE,88.79,overcast clouds,14.3188,2.0866,Crôa Mares Hotel
491,Ode,NG,71.4,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
493,Ugoofaaru,MV,83.21,broken clouds,5.6667,73.0,Ungoofaaru Inn
494,Hambantota,LK,79.41,broken clouds,6.1241,81.1185,Bungalow 63
495,Moroni,KM,79.97,light rain,-11.7022,43.2551,Hotel les Arcades
496,Lumut,MY,78.82,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
497,Huarmey,PE,70.34,clear sky,-10.0681,-78.1522,Hotel Miramar
502,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
506,Gibgos,PH,79.25,overcast clouds,13.859,123.7675,Crôa Mares Hotel
510,Honiara,SB,77.59,clear sky,-9.4333,159.95,Heritage Park Hotel
511,Conceicao Do Araguaia,BR,85.21,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
512,Awbari,LY,82.85,overcast clouds,26.5921,12.7805,فندق أوباري
513,Amalapuram,IN,82.9,few clouds,16.5833,82.0167,swayamprabha service apartments
515,Harlingen,US,82.49,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
517,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
521,Kidal,ML,87.82,few clouds,18.4411,1.4078,Crôa Mares Hotel
522,Dakar,SN,74.28,scattered clouds,14.6937,-17.4441,Novotel Dakar
523,Bajna,IN,87.39,clear sky,27.9,77.6833,Mr. Uma Shankar Gupta ji
526,Senador Jose Porfirio,BR,80.55,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
527,Ilheus,BR,80.42,few clouds,-14.7889,-39.0494,Barravento Hotel
528,Pangkalanbuun,ID,74.16,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
530,Sarangani,PH,82.15,overcast clouds,5.4033,125.4636,Ballistic Islet
531,Celestun,MX,84.56,broken clouds,20.8667,-90.4,Posada Lilia
535,Kavaratti,IN,83.14,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
537,Singaraja,ID,78.82,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
540,Muli,MV,83.34,broken clouds,2.9167,73.5667,Medhufushi Island Resort
541,Port Said,EG,73.38,clear sky,31.2565,32.2841,Aracan Hotel
543,Tanout,NE,89.31,broken clouds,14.9709,8.8879,Crôa Mares Hotel
544,Sao Francisco,BR,80.76,clear sky,-15.9486,-44.8644,Pousada Peixe Vivo
546,Ahuimanu,US,79.86,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
550,Wilmington,US,86.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
551,Ipoti,NG,70.27,overcast clouds,7.8738,5.0769,Sege Alakani Hotel
555,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
558,Talen,IN,85.75,scattered clouds,23.5667,76.7167,होटल आनंद पैलेस
561,Gandajika,CD,72.61,overcast clouds,-6.75,23.95,Hôtel Memorial
563,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
565,Manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
566,Matay,EG,75.06,clear sky,28.419,30.7792,Nag Aespen
570,Vaitape,PF,80.65,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
571,Thinadhoo,MV,83.66,overcast clouds,0.5333,72.9333,Crôa Mares Hotel
575,Tabuk,PH,74.55,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
576,Kagay,PH,78.33,overcast clouds,6.0088,120.9074,Crôa Mares Hotel
586,Sawakin,SD,82.81,clear sky,19.1059,37.3321,فندق الدويم
593,Cove,BJ,76.08,overcast clouds,7.221,2.3402,TG Hôtel
595,Xuddur,SO,79.47,overcast clouds,4.1213,43.8894,Banjanay Hotel
596,Maumere,ID,78.75,broken clouds,-8.6199,122.2111,Sylvia Hotel
600,Camocim,BR,78.85,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
601,Khorramshahr,IR,89.56,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
603,Sabha,LY,79.56,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
604,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
605,Merauke,ID,79.05,few clouds,-8.4667,140.3333,Crôa Mares Hotel
616,Ishigaki,JP,77.13,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
617,Farmington,US,75.78,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
619,Tehachapi,US,80.55,few clouds,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
620,Vao,NC,74.91,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
622,Winneba,GH,75.88,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
626,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
630,Salinopolis,BR,80.24,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
631,Nicoya,CR,86.72,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
632,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
633,Dao,PH,74.01,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
634,Abadan,IR,89.55,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
635,Dabhol,IN,81.73,clear sky,17.6,73.1667,Ashwamedh Resort
637,Gwadar,PK,84.25,clear sky,25.1216,62.3254,Sadaf Resort
638,Buala,SB,80.11,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
639,Jalu,LY,75.72,clear sky,29.0331,21.5482,صاحبة الفخامة
641,Feijo,BR,81.88,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
644,Amapa,BR,77.4,light rain,1.0,-52.0,Crôa Mares Hotel
646,Loandjili,CG,75.0,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
653,Cairo,EG,76.05,clear sky,30.0626,31.2497,Grand Hotel
655,Antalaha,MG,71.78,few clouds,-14.9003,50.2788,Hotel Vitasoa
660,Sungairaya,ID,78.85,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
662,Baihar,IN,87.3,overcast clouds,22.1,80.55,T3 RESORT & RESEARCH CENTRE
666,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
671,Gopalpur,IN,84.51,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
672,Shelui,TZ,74.05,overcast clouds,-4.3667,34.2,PARIS GUEST HOUSE
673,Zemio,CF,73.63,overcast clouds,5.0314,25.1361,OCHA Office
674,Camopi,GF,83.43,scattered clouds,3.1655,-52.3158,La pousada
675,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
677,Crixas,BR,82.56,scattered clouds,-14.5489,-49.9692,RISO HOTEL
678,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
679,Abha,SA,73.22,clear sky,18.2164,42.5053,Abha Hotel
680,Santa Fe Do Sul,BR,74.39,clear sky,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
681,Mapiripan,CO,83.91,broken clouds,2.8892,-72.1256,Monserrate
682,Anloga,GH,79.54,broken clouds,5.7947,0.8973,Pin Drop Hotel
683,Kerema,PG,78.87,broken clouds,-7.9631,145.7785,Frena Lodge
685,Daru,PG,80.19,broken clouds,-9.0763,143.2092,Daru Lodge
686,Havelock,US,83.97,overcast clouds,34.8791,-76.9013,Sherwood Motel
692,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
693,Arica,CL,72.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
695,Shirdi,IN,79.02,clear sky,19.7667,74.4833,Shradha Saburi Palace
698,Ocos,GT,84.67,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
699,Sao Jose Da Coroa Grande,BR,78.21,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
