City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
399,Gorom-Gorom,14.4439,-0.2361,83.28,51,92,16.53,light rain,BF,2022-05-22 19:33:24
400,Kungurtug,50.5994,97.5228,52.68,37,100,1.7,overcast clouds,RU,2022-05-22 19:33:24
401,Tendukheda,23.4,79.55,92.8,24,45,6.55,scattered clouds,IN,2022-05-22 19:33:24
402,Mazamet,43.49,2.373,80.22,68,0,5.75,clear sky,FR,2022-05-22 19:33:25
403,Campos Altos,-19.6961,-46.1714,63.77,54,0,2.55,clear sky,BR,2022-05-22 19:33:25
404,Okha,53.5739,142.9478,31.95,91,100,9.6,overcast clouds,RU,2022-05-22 19:33:25
405,Hammerfest,70.6634,23.6821,48.65,61,75,2.3,broken clouds,NO,2022-05-22 19:33:26
406,Quepos,9.4236,-84.1652,82.65,80,66,5.17,broken clouds,CR,2022-05-22 19:33:26
407,Pontal Do Parana,-25.6533,-48.5128,70.99,82,3,5.19,clear sky,BR,2022-05-22 19:33:26
408,Jerantut,3.936,102.3626,74.05,98,75,1.43,light rain,MY,2022-05-22 19:33:27
409,Agirish,61.9247,63.0231,38.41,97,100,9.22,overcast clouds,RU,2022-05-22 19:33:27
410,Alekseyevsk,57.8406,108.3492,42.12,92,53,0.38,broken clouds,RU,2022-05-22 19:33:27
411,Winnemucca,40.973,-117.7357,64.45,25,0,6.91,clear sky,US,2022-05-22 19:33:28
412,Nantucket,41.2835,-70.0995,71.71,77,0,11.5,clear sky,US,2022-05-22 19:33:28
413,Bakchar,57.0186,82.0711,57.22,74,64,13.49,broken clouds,RU,2022-05-22 19:33:28
414,Vanimo,-2.6741,141.3028,77.43,89,82,4.68,broken clouds,PG,2022-05-22 19:33:29
415,Mitsamiouli,-11.3847,43.2844,80.64,77,40,6.6,light rain,KM,2022-05-22 19:34:29
416,Ajra,16.1167,74.2,71.56,94,71,7.05,broken clouds,IN,2022-05-22 19:34:29
417,Guerrero Negro,27.9769,-114.0611,68.72,55,0,16.4,clear sky,MX,2022-05-22 19:34:30
418,Corrales,35.2378,-106.6067,71.4,30,0,18.99,clear sky,US,2022-05-22 19:34:30
419,Matagami,49.7502,-77.6328,42.91,70,100,6.91,overcast clouds,CA,2022-05-22 19:34:30
420,Severo-Kurilsk,50.6789,156.125,40.69,97,100,16.22,overcast clouds,RU,2022-05-22 19:34:31
421,Niederkassel,50.8167,7.0333,68.92,63,0,4.61,clear sky,DE,2022-05-22 19:34:31
422,Nanakuli,21.3906,-158.1547,80.11,64,100,9.22,overcast clouds,US,2022-05-22 19:34:31
423,Dauphin,51.1494,-100.0502,60.94,27,0,6.91,clear sky,CA,2022-05-22 19:33:25
424,Te Anau,-45.4167,167.7167,36.77,91,13,0.27,few clouds,NZ,2022-05-22 19:34:32
425,Geraldton,-28.7667,114.6,64.81,72,40,16.11,light rain,AU,2022-05-22 19:34:32
426,Qinzhou,21.95,108.6167,75.78,95,100,9.13,overcast clouds,CN,2022-05-22 19:34:32
427,Kikwit,-5.041,18.8162,72.84,85,82,2.68,light rain,CD,2022-05-22 19:34:33
428,Floro,61.5996,5.0328,58.23,76,75,12.66,broken clouds,NO,2022-05-22 19:34:33
429,Grindavik,63.8424,-22.4338,55.35,66,0,20.71,clear sky,IS,2022-05-22 19:34:33
430,Teacapan,22.55,-105.75,82.98,57,23,11.61,few clouds,MX,2022-05-22 19:34:33
431,Epernay,49.05,3.95,67.28,80,100,4.7,overcast clouds,FR,2022-05-22 19:34:34
